#{"t_start": 1784614262.4144373, "env_id": "None"}
r,l,t
623.806522,300,8234.712355
600.775375,300,8235.009109
832.929027,300,8235.292401
672.227408,300,8235.571801
623.911016,300,8236.032407
600.893336,300,8236.599818
833.16021,300,8237.282259
672.236031,300,8237.696884
623.598946,300,8237.976008
600.898561,300,8238.64385
833.161672,300,8239.059852
672.211281,300,8239.503345
623.915254,300,8240.106739
600.860869,300,8240.73485
833.12805,300,8241.308157
672.239585,300,8241.75265
623.875846,300,8242.175071
600.891162,300,8242.579487
833.16021,300,8243.005189
672.23504,300,8243.354218
623.806522,300,8243.814661
600.866019,300,8244.101063
833.052667,300,8250.07734
672.239558,300,8250.616127
623.881084,300,8251.4696
600.84708,300,8251.817284
833.031919,300,8252.415612
672.231127,300,8252.883361
623.792216,300,8253.578575
600.701094,300,8254.014419
833.052667,300,8254.444422
672.239268,300,8254.733713
623.90196,300,8258.05345
600.872914,300,8258.428102
833.122509,300,8258.788571
672.238869,300,8259.266754
623.893903,300,8259.990632
600.851234,300,8260.553361
833.161672,300,8261.211568
672.225718,300,8261.518562
623.908798,300,8262.258273
600.854755,300,8262.820335
833.156873,300,8263.395394
672.230811,300,8263.699966
623.905568,300,8263.98584
600.851234,300,8264.312551
833.13301,300,8264.813163
672.238969,300,8265.188901
623.77944,300,8265.724062
600.886577,300,8266.126873
832.971784,300,8271.195058
672.2404,300,8271.941002
623.914087,300,8272.233636
600.84708,300,8272.832023
833.156873,300,8273.129895
672.238625,300,8273.511141
623.860259,300,8273.902728
600.851234,300,8274.200868
833.103485,300,8274.540047
672.207789,300,8275.259145
623.554286,300,8275.921548
600.888883,300,8276.622536
832.943742,300,8277.212662
672.216447,300,8278.015151
623.914971,300,8278.341267
600.888883,300,8278.689961
833.052667,300,8279.150737
672.23828,300,8279.545425
623.840908,300,8280.127167
600.898561,300,8280.616906
833.161672,300,8281.158464
672.208254,300,8281.61775
623.553119,300,8282.283701
600.893336,300,8282.783266
833.110231,300,8283.387326
672.203262,300,8284.087526
623.50407,300,8284.579724
600.872914,300,8293.117987
833.137687,300,8293.517834
672.229805,300,8293.842837
623.915254,300,8294.234483
600.858018,300,8294.770919
833.161672,300,8295.203911
672.202214,300,8295.806086
623.680856,300,8296.52859
600.863562,300,8297.099464
833.052667,300,8297.492321
672.230219,300,8297.933594
623.89362,300,8298.212495
600.898561,300,8298.49422
833.161588,300,8298.77822
672.228889,300,8299.315722
623.911754,300,8299.652542
600.835691,300,8299.943768
833.161672,300,8300.284772
672.202338,300,8300.57578
623.915254,300,8300.877882
600.854755,300,8301.319447
833.159379,300,8301.827384
672.225001,300,8302.402977
623.793348,300,8302.987032
600.870668,300,8303.666742
832.997187,300,8304.314281
672.231198,300,8304.809546
623.914405,300,8310.285218
600.742571,300,8310.938117
833.080133,300,8311.38933
672.228331,300,8311.874125
623.793065,300,8312.286809
600.888883,300,8312.965828
833.122509,300,8313.265522
672.218474,300,8313.974371
623.91232,300,8314.471067
600.891162,300,8314.929505
833.13301,300,8315.451557
672.23504,300,8315.730995
623.915254,300,8316.078609
600.759633,300,8316.357427
833.150834,300,8317.040274
672.239734,300,8317.330169
623.478621,300,8317.640284
600.854755,300,8317.9669
833.156873,300,8318.30799
672.234641,300,8318.782504
623.804258,300,8319.23272
600.895428,300,8319.65558
833.137687,300,8320.180007
672.236941,300,8323.340443
623.778839,300,8323.870727
600.897282,300,8324.513917
833.158216,300,8325.056717
672.229343,300,8325.447201
623.851108,300,8331.137335
600.893336,300,8331.672405
833.158216,300,8332.259713
672.197327,300,8332.622369
623.867895,300,8332.911291
600.863562,300,8333.226995
833.161588,300,8333.629587
672.240475,300,8333.926603
623.914122,300,8334.259828
600.775375,300,8334.844407
833.150834,300,8335.148978
672.240004,300,8335.459799
623.915254,300,8335.744921
600.722619,300,8336.301486
833.16021,300,8336.588627
672.21737,300,8336.927997
623.478056,300,8337.456157
600.81126,300,8337.965693
833.020756,300,8338.61291
672.240989,300,8339.396109
623.659536,300,8340.163225
600.820675,300,8340.614302
833.161588,300,8340.943499
672.233721,300,8341.324451
623.528853,300,8341.687387
600.851234,300,8342.249734
833.031919,300,8342.770869
672.239395,300,8347.220835
623.905568,300,8347.524547
600.701094,300,8347.973844
833.153207,300,8348.490513
672.23423,300,8348.797008
623.773676,300,8349.141279
600.89958,300,8349.529154
833.145146,300,8349.855797
672.232388,300,8350.237076
623.912037,300,8350.549585
600.84708,300,8350.871751
833.088442,300,8351.165509
672.236254,300,8351.450689
623.909602,300,8351.828664
600.899962,300,8352.393598
833.14823,300,8352.755753
672.240377,300,8350.48948
623.55135,300,8356.047784
600.891162,300,8356.342654
832.957905,300,8356.984562
672.2261,300,8357.582125
623.913556,300,8358.084272
600.897282,300,8358.628894
833.110231,300,8359.091324
672.239714,300,8359.579799
623.887708,300,8359.979928
600.895428,300,8360.396594
833.161672,300,8364.937202
672.240377,300,8365.532813
623.785672,300,8365.981816
600.759633,300,8366.34333
833.110231,300,8366.903482
672.233537,300,8367.422681
623.915254,300,8367.743962
600.676148,300,8368.110135
833.052667,300,8368.385178
672.240989,300,8368.86975
623.849375,300,8369.368472
600.800967,300,8369.666151
832.929027,300,8369.955524
672.239456,300,8370.278845
623.905285,300,8370.91315
600.788715,300,8371.316694
833.116671,300,8371.600345
672.229479,300,8372.168334
623.63825,300,8372.465995
600.84708,300,8372.772963
833.14823,300,8373.337048
672.187313,300,8373.699218
623.907055,300,8374.039284
600.860869,300,8374.359854
833.062246,300,8374.877682
672.227546,300,8375.383345
623.563641,300,8376.039659
600.891162,300,8376.589561
833.071507,300,8381.24753
672.181184,300,8381.943478
623.634572,300,8382.239821
600.899962,300,8382.732934
833.116671,300,8383.246881
672.238977,300,8383.668637
623.810067,300,8384.174483
600.835691,300,8384.662892
833.13301,300,8385.173844
672.226859,300,8385.563642
623.525034,300,8388.816799
600.893336,300,8389.163087
833.16089,300,8389.475963
672.226431,300,8390.191428
623.905074,300,8390.707372
600.894664,300,8390.995821
833.137687,300,8391.467359
672.234149,300,8391.918116
623.86365,300,8392.482334
600.879654,300,8393.044265
832.929027,300,8393.782869
672.192528,300,8394.409847
623.819828,300,8394.825105
600.899962,300,8395.283609
833.071507,300,8395.733517
672.208443,300,8396.138606
623.598946,300,8396.628475
600.88194,300,8401.723381
833.161672,300,8402.352608
672.240736,300,8402.842528
623.826197,300,8403.38932
600.722619,300,8403.834491
833.071507,300,8404.396154
672.238981,300,8404.913211
623.907516,300,8405.257069
600.850852,300,8405.68704
833.09612,300,8406.19142
672.173466,300,8406.578651
623.518065,300,8406.929983
600.868395,300,8407.314616
833.103485,300,8407.926852
672.238166,300,8408.504214
623.720565,300,8408.911301
600.881558,300,8409.51545
833.122509,300,8410.118039
672.239511,300,8410.530186
623.906915,300,8411.090923
600.870668,300,8411.742685
833.158216,300,8412.192757
672.223067,300,8412.729787
623.914971,300,8413.339053
600.800967,300,8413.86982
832.984786,300,8414.248554
672.230181,300,8414.562615
623.889659,300,8423.291154
600.8969,300,8423.736949
833.161298,300,8424.23666
672.238739,300,8424.525889
623.907191,300,8424.918434
600.897282,300,8425.296608
833.161588,300,8425.630666
672.240841,300,8425.909274
623.805072,300,8426.48851
600.820675,300,8426.771701
833.161672,300,8427.053587
672.23498,300,8427.340789
623.84728,300,8427.635261
600.854755,300,8427.969095
833.09612,300,8428.779064
672.230395,300,8429.466199
623.896797,300,8430.107917
600.895046,300,8430.66544
833.09612,300,8431.522371
672.239066,300,8431.967077
623.660102,300,8432.303695
600.874383,300,8432.685965
833.141811,300,8433.174608
672.239638,300,8433.577508
623.82708,300,8433.88067
600.865637,300,8434.198248
833.155143,300,8434.520438
672.224125,300,8439.305948
623.696221,300,8439.748282
600.800585,300,8440.18469
833.103485,300,8440.71156
672.23397,300,8441.070973
623.89007,300,8441.495835
600.884255,300,8442.001906
833.052667,300,8442.301343
672.232355,300,8442.58909
623.91045,300,8443.039914
600.788715,300,8443.500752
833.12805,300,8444.333572
672.208023,300,8444.808778
623.814773,300,8445.112269
600.898561,300,8445.775648
833.110231,300,8446.281441
672.230217,300,8446.831881
623.900319,300,8447.229882
600.891162,300,8447.811586
833.14823,300,8448.324214
672.237395,300,8448.755236
623.551633,300,8449.196075
600.899962,300,8449.510936
833.155143,300,8449.913669
672.237707,300,8450.195128
623.870576,300,8450.47441
600.863562,300,8451.075791
833.145146,300,8454.074968
672.165834,300,8459.461663
623.876426,300,8460.164942
600.676148,300,8460.574393
833.16089,300,8460.872072
672.240042,300,8461.163514
623.828813,300,8461.457879
600.739764,300,8461.958869
833.161672,300,8462.31884
672.238858,300,8462.734111
623.765305,300,8463.080325
600.675766,300,8463.372332
833.150834,300,8463.757222
672.227021,300,8464.112099
623.528287,300,8464.662372
600.800203,300,8464.954355
833.145146,300,8465.244341
672.240134,300,8465.676722
623.892419,300,8466.158813
600.828528,300,8466.541221
833.020756,300,8466.925142
672.238704,300,8467.557462
623.899909,300,8468.164644
600.83531,300,8468.728442
832.943742,300,8469.1257
672.238602,300,8469.408675
623.909878,300,8469.768556
600.84708,300,8470.114984
833.153207,300,8474.783211
672.215351,300,8475.293814
623.695083,300,8475.818496
600.810878,300,8476.420758
833.161672,300,8476.84333
672.201878,300,8477.411089
623.84796,300,8477.77513
600.862798,300,8478.159937
832.957905,300,8478.644186
672.216326,300,8478.937261
623.775727,300,8479.325986
600.89958,300,8479.603037
833.12805,300,8479.948698
672.216498,300,8480.462307
623.747278,300,8481.119334
600.83531,300,8481.45715
833.14823,300,8481.738096
672.226674,300,8482.093045
623.860259,300,8482.486589
600.721856,300,8482.777551
833.122509,300,8483.293395
672.237942,300,8481.322021
623.908648,300,8486.952662
600.833018,300,8487.694432
833.158216,300,8488.138888
672.198148,300,8488.663873
623.501806,300,8489.210972
600.800585,300,8495.344806
833.161672,300,8495.869069
672.227031,300,8496.222795
623.900652,300,8496.783729
600.886577,300,8497.1865
833.042451,300,8497.543339
672.185693,300,8497.95909
623.875563,300,8498.382666
600.881176,300,8498.659995
832.929027,300,8499.143091
672.228625,300,8499.667955
623.912708,300,8500.180756
600.786805,300,8500.612604
833.137687,300,8501.142371
672.216076,300,8502.064267
623.914971,300,8502.658636
600.899198,300,8503.29201
833.103485,300,8503.694875
672.23502,300,8504.165823
623.913804,300,8504.573561
600.885558,300,8504.927024
833.09612,300,8505.218238
672.207282,300,8505.833833
623.729655,300,8506.495952
600.720577,300,8507.206373
833.141811,300,8507.509421
672.215359,300,8507.933999
623.850224,300,8508.358325
600.886577,300,8513.276217
833.031919,300,8514.010659
672.202601,300,8514.384056
623.906712,300,8514.84062
600.878508,300,8515.139479
832.943742,300,8515.435487
