timestamp,alpha,beta,delta,power_wam,power_mean,power_normalized,delay_wam,delay_mean,delay_normalized,pdr_wam,pdr_mean,pdr_normalized,current_sf_len,last_ts_in_schedule,reward,episode_index,episode_initial_sf_len,episode_profile,action,applied_action,requested_sf_len,applied_sf_len,action_overridden,action_override_reason,returned_reward,terminated,truncated,wait_timeout,valid_cycle,wait_attempts,cycle_idx,seed,reset_count,step_exception_count,profile
1784735538259.9001,0.4,0.3,0.3,631.9686028257456,658.5555555555555,0.12639372056514914,272.7709359605911,333.5194307608101,0.017529748896637165,0.9999999999999998,1.0,0.9999999999999998,29,8,2.244183587104949,1,10,balanced,1,1,29,29,False,,2.244183587104949,False,False,False,True,0,21,49,1,0,balanced
1784735541091.289,0.4,0.3,0.3,622.9843014128728,645.7777777777778,0.12459686028257456,294.50470311581415,365.4938271604938,0.018979633296585335,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2444673658979943,1,10,balanced,0,0,32,32,False,,2.2444673658979943,False,False,False,True,0,22,49,1,0,balanced
1784735543917.752,0.4,0.3,0.3,631.4505494505494,657.5555555555555,0.1262901098901099,244.54336815447925,314.0661601772713,0.01564665564739688,0.9999999999999998,1.0,0.9999999999999998,29,8,2.244789959349737,1,10,balanced,1,1,29,29,False,,2.244789959349737,False,False,False,True,0,23,49,1,0,balanced
1784735551500.593,0.4,0.3,0.3,246.00784929356357,293.3333333333333,0.04920156985871271,114.44444444444443,127.06739526411656,0.006967608034986286,0.3877551020408163,0.4444444444444444,0.3877551020408163,32,8,2.094555620258264,1,10,balanced,0,0,32,32,False,,2.094555620258264,False,False,False,True,0,24,49,1,0,balanced
1784735554523.4849,0.4,0.3,0.3,631.0470957613815,656.5555555555555,0.1262094191522763,337.0684181718664,468.8762999452655,0.021819107282979748,0.8785254154712281,0.9157088122605364,0.8785254154712281,29,8,2.206528124795564,1,10,balanced,1,1,29,29,False,,2.206528124795564,False,False,False,True,0,25,49,1,0,balanced
1784735557350.465,0.4,0.3,0.3,629.4929356357927,655.8888888888889,0.12589858712715854,266.8930041152263,340.7407407407407,0.017137625357920367,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2444992775417605,1,10,balanced,2,2,29,29,False,,2.2444992775417605,False,False,False,True,0,26,49,1,0,balanced
1784735560172.083,0.4,0.3,0.3,620.6938775510204,644.7777777777778,0.12413877551020407,285.0918577307466,360.0646678424456,0.018351691643145204,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2448389823029746,1,10,balanced,0,0,32,32,False,,2.2448389823029746,False,False,False,True,0,27,49,1,0,balanced
1784735563100.386,0.4,0.3,0.3,629.9466248037676,655.8888888888889,0.12598932496075352,313.7059082892416,388.72574955908294,0.020260567597681228,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2435260997363944,1,10,balanced,1,1,29,29,False,,2.2435260997363944,False,False,False,True,0,28,49,1,0,balanced
1784735565931.7131,0.4,0.3,0.3,622.8775510204081,646.7777777777778,0.12457551020408161,301.9620811287478,393.2084068195179,0.01947712349091046,0.9999999999999998,1.0,0.9999999999999998,32,8,2.244326658871094,1,10,balanced,0,0,32,32,False,,2.244326658871094,False,False,False,True,0,29,49,1,0,balanced
1784735568857.717,0.4,0.3,0.3,630.9827315541601,657.2222222222222,0.12619654631083202,257.20532039976484,334.6061140505585,0.016491348925934946,0.9899022511619273,0.9883689107827038,0.9899022511619273,29,8,2.241544652146465,1,10,balanced,1,1,29,29,False,,2.241544652146465,False,False,False,True,0,30,49,1,0,balanced
1784735571679.638,0.4,0.3,0.3,619.9623233908947,644.2222222222222,0.12399246467817893,281.53145208700766,356.65784832451504,0.018114172921081233,0.9999999999999998,1.0,0.9999999999999998,32,8,2.244968762252404,1,10,balanced,0,0,32,32,False,,2.244968762252404,False,False,False,True,0,31,49,1,0,balanced
1784735574707.631,0.4,0.3,0.3,543.8932496075353,596.1111111111111,0.10877864992150706,243.1690561529271,281.3727598566308,0.015554973726012482,0.8398744113029826,0.8888888888888888,0.8398744113029826,29,8,2.2037843713044882,1,10,balanced,1,1,29,29,False,,2.2037843713044882,False,False,False,True,0,32,49,1,0,balanced
1784735577533.877,0.4,0.3,0.3,629.8257456828885,656.1111111111111,0.1259651491365777,265.57613168724276,354.238683127572,0.017049775296013526,0.9999999999999998,1.0,0.9999999999999998,29,8,2.244499007756565,1,10,balanced,2,2,29,29,False,,2.244499007756565,False,False,False,True,0,33,49,1,0,balanced
1784735583263.2192,0.4,0.3,0.3,621.7503924646782,646.0,0.12435007849293563,318.93738977072314,397.7087007642563,0.020609565695178328,0.9999999999999998,1.0,0.9999999999999998,32,8,2.244077098894272,1,10,balanced,0,0,32,32,False,,2.244077098894272,False,False,False,True,0,34,49,1,0,balanced
1784735586190.87,0.4,0.3,0.3,630.4427001569859,656.4444444444445,0.1260885400313972,279.4745484400657,351.59414340448825,0.017976954532359285,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2441714976277334,1,10,balanced,1,1,29,29,False,,2.2441714976277334,False,False,False,True,0,35,49,1,0,balanced
1784735589022.1392,0.4,0.3,0.3,622.2794348508635,646.4444444444445,0.1244558869701727,333.3679848957627,423.51727490616383,0.021572247157822726,0.9880225594511307,0.9917695473251028,0.9880225594511307,32,8,2.240152738899923,1,10,balanced,0,0,32,32,False,,2.240152738899923,False,False,False,True,0,36,49,1,0,balanced
1784735591853.916,0.4,0.3,0.3,628.9905808477237,656.1111111111111,0.12579811616954473,299.3273187717632,395.5207344096233,0.019301355488443174,0.9999999999999998,1.0,0.9999999999999998,29,8,2.243890346885649,1,10,balanced,1,1,29,29,False,,2.243890346885649,False,False,False,True,0,37,49,1,0,balanced
1784735594679.729,0.4,0.3,0.3,622.7990580847722,646.6666666666666,0.12455981161695445,314.2341609008276,398.8637905304572,0.020295807932009847,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2440873329736153,1,10,balanced,0,0,32,32,False,,2.2440873329736153,False,False,False,True,0,38,49,1,0,balanced
1784735597597.179,0.4,0.3,0.3,631.3390894819465,658.1111111111111,0.1262678178963893,310.8569756127227,374.16605850513895,0.020070512048880766,0.9999999999999998,1.0,0.9999999999999998,29,8,2.24347171922678,1,10,balanced,1,1,29,29,False,,2.24347171922678,False,False,False,True,0,39,49,1,0,balanced
1784735600425.584,0.4,0.3,0.3,621.7378335949763,646.0,0.12434756671899527,323.4597295708407,397.03703703703707,0.020911256142150815,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2439875964697564,1,10,balanced,0,0,32,32,False,,2.2439875964697564,False,False,False,True,0,40,49,1,0,balanced
1784735603248.621,0.4,0.3,0.3,629.7394034536891,655.6666666666666,0.1259478806907378,262.0979740424185,323.8113327002216,0.016817743431782422,0.9999999999999998,1.0,0.9999999999999998,29,8,2.24457552469417,1,10,balanced,1,1,29,29,False,,2.24457552469417,False,False,False,True,0,41,49,1,0,balanced
1784735606076.8289,0.4,0.3,0.3,622.3516483516482,645.6666666666666,0.12447032967032964,304.3959435626102,383.1128747795414,0.019639489230327566,0.9942812289751064,0.9960317460317462,0.9942812289751064,32,8,2.242604390055302,1,10,balanced,0,0,32,32,False,,2.242604390055302,False,False,False,True,0,42,49,1,0,balanced
1784735608908.529,0.4,0.3,0.3,631.6718995290423,657.4444444444445,0.12633437990580845,273.8255777144666,354.764165875277,0.01760010525113186,0.9999999999999998,1.0,0.9999999999999998,29,8,2.244186216462337,1,10,balanced,1,1,29,29,False,,2.244186216462337,False,False,False,True,0,43,49,1,0,balanced
1784735611730.552,0.4,0.3,0.3,621.0172684458398,644.2222222222222,0.12420345368916796,301.275720164609,390.4526748971194,0.019431335568019282,0.9942812289751064,0.9960317460317459,0.9942812289751064,32,8,2.242773586546459,1,10,balanced,0,0,32,32,False,,2.242773586546459,False,False,False,True,0,44,49,1,0,balanced
1784735614760.694,0.4,0.3,0.3,618.1779739776952,652.1111111111111,0.12363559479553904,423.1119342479297,459.1995020759235,0.027559168395458952,0.9500224330214075,0.9279693486590038,0.9500224330214075,29,8,2.227284741469569,1,10,balanced,1,1,29,29,False,,2.227284741469569,False,False,False,True,0,45,49,1,0,balanced
1784735620547.616,0.4,0.3,0.3,629.7299843014129,655.6666666666666,0.12594599686028257,276.50205761316874,353.99176954732513,0.017778656278396848,0.9999999999999998,1.0,0.9999999999999998,29,8,2.244288004372368,1,10,balanced,2,2,29,29,False,,2.244288004372368,False,False,False,True,0,46,49,1,0,balanced
1784735623373.3052,0.4,0.3,0.3,622.8634222919937,646.5555555555555,0.12457268445839875,287.8064373897707,368.1613756613757,0.018532784348883967,0.9999999999999998,1.0,0.9999999999999998,32,8,2.244611090911975,1,10,balanced,0,0,32,32,False,,2.244611090911975,False,False,False,True,0,47,49,1,0,balanced
1784735626194.682,0.4,0.3,0.3,629.1444270015697,655.7777777777778,0.12582888540031395,306.6722063944286,383.9363722697056,0.01979134132050891,0.9999999999999998,1.0,0.9999999999999998,29,8,2.243731043443722,1,10,balanced,1,1,29,29,False,,2.243731043443722,False,False,False,True,0,48,49,1,0,balanced
1784735629018.334,0.4,0.3,0.3,622.1350078492934,645.5555555555555,0.12442700156985868,354.8170194003527,463.0540858318635,0.023003136717835403,0.9999999999999998,1.0,0.9999999999999998,32,8,2.243328258356706,1,10,balanced,0,0,32,32,False,,2.243328258356706,False,False,False,True,0,49,49,1,0,balanced
1784735631940.164,0.4,0.3,0.3,628.6954474097331,654.8888888888889,0.12573908948194662,1958.8881072453871,2123.072958331579,0.1300125488489251,0.9783376109906723,0.9800117577895355,0.9783376109906723,29,8,2.2042018828497456,1,10,balanced,1,1,29,29,False,,2.2042018828497456,False,False,False,True,0,50,49,1,0,balanced
1784735634765.91,0.4,0.3,0.3,633.3296703296703,660.7777777777778,0.12666593406593407,265.08942703387146,345.4384298828743,0.01701730667337368,0.9999999999999998,1.0,0.9999999999999998,28,8,2.2442284343716143,1,10,balanced,1,1,28,28,False,,2.2442284343716143,False,False,False,True,0,51,49,1,0,balanced
1784735637593.5781,0.4,0.3,0.3,628.8602825745683,655.1111111111111,0.12577205651491366,477.71367521367523,748.6435580880026,0.031201712822793545,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2403306635471965,1,10,balanced,0,0,29,29,False,,2.2403306635471965,False,False,False,True,0,52,49,1,0,balanced
1784735640412.639,0.4,0.3,0.3,622.0549450549449,646.2222222222222,0.12441098901098899,329.60905349794234,419.5061728395062,0.021321484556233644,0.9999999999999998,1.0,0.9999999999999998,32,8,2.243839159028734,1,10,balanced,0,0,32,32,False,,2.243839159028734,False,False,False,True,0,53,49,1,0,balanced
1784735643230.502,0.4,0.3,0.3,632.0235478806908,658.0,0.12640470957613817,256.5740740740741,324.28458372902816,0.016449237763447238,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2445033448405107,1,10,balanced,1,1,29,29,False,,2.2445033448405107,False,False,False,True,0,54,49,1,0,balanced
1784735646055.292,0.4,0.3,0.3,623.806907378336,647.4444444444445,0.12476138147566719,277.5095532039976,350.5188124632569,0.01784586745857222,0.9999999999999998,1.0,0.9999999999999998,32,8,2.2447416871721613,1,10,balanced,0,0,32,32,False,,2.2447416871721613,False,False,False,True,0,55,49,1,0,balanced
1784735648887.158,0.4,0.3,0.3,631.6828885400314,657.5555555555555,0.12633657770800627,253.463121240899,320.7249129471352,0.016241702551093997,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2445928581514694,1,10,balanced,1,1,29,29,False,,2.2445928581514694,False,False,False,True,0,56,49,1,0,balanced
1784735654882.669,0.4,0.3,0.3,535.5682888540031,586.0,0.10711365777080062,252.2043010752688,304.40860215053766,0.016157725221832474,0.8398744113029826,0.8888888888888888,0.8398744113029826,32,8,2.2042695427160246,1,10,balanced,0,0,32,32,False,,2.2042695427160246,False,False,False,True,0,57,49,1,0,balanced
1784735657817.2742,0.4,0.3,0.3,629.6750392464678,655.5555555555555,0.12593500784929357,300.5042419266557,381.22742200328406,0.01937986937469351,0.9999999999999998,1.0,0.9999999999999998,29,8,2.2438120360478746,1,10,balanced,1,1,29,29,False,,2.2438120360478746,False,False,False,True,0,58,49,1,0,balanced
