seed,profile,cycles,sf_len,power_normalized,power_raw,delay_normalized,delay_ms,pdr,reward,delay_ms_median,delay_ms_p95,pdr_p05,sf_terminal_mode,sf_terminal_median,sf_start,sf_end
47,energy,250,68.0,0.11468257205651489,584.9604444444445,0.04834255784519624,913.3531572573577,0.9881412759228849,2.002197959737141,873.3987925654592,1078.3903451628544,0.9882799671592775,68,68.0,68,68
47,reliability,250,10.0,0.15841703861852433,867.7773333333333,0.010010154628272329,194.78917655941984,0.992060819583425,2.77521597989779,136.76011702355788,232.64827250938347,0.9895061728395061,10,10.0,10,10
48,balanced,250,30.408,0.12477213312401879,648.9417777777777,0.021353616887265114,403.28479505933643,0.9902268166718213,2.240520281885244,362.06530095418987,506.7408602150535,0.9132744495647721,29,29.0,32,32
48,delay,250,10.0,0.15784469511827912,864.84,0.022529547908547207,397.02304426193973,0.988861525931097,2.064888758548594,161.28159905937684,376.13547460769666,0.9706964969896004,10,10.0,10,10
48,energy,250,68.0,0.11466376776287357,585.6648888888889,0.04679254138308946,880.545789281713,0.9893427478748273,2.002353609582402,878.1305114638449,997.7366255144033,0.9917695473251028,68,68.0,68,68
48,reliability,250,10.0,0.1575993720565149,863.9671111111112,0.012260641682633085,226.11822821592563,0.987151512684846,2.770325937053377,155.53497942386832,247.6239711934154,0.8888888888888888,10,10.0,10,10
49,balanced,250,30.26,0.12342283145903132,643.3955555555555,0.025212748999358447,471.5822423356342,0.9755041315910111,2.2346308614607207,359.58406819517927,739.1211962010012,0.8499878988333686,29,29.0,28,32
49,delay,250,10.0,0.15877664528903032,868.6266666666668,0.017061703608669446,312.51977075276244,0.9937535658625605,2.0697777370276107,134.79938271604937,287.5062802423903,0.9896774521774522,10,10.0,10,10
49,energy,250,68.0,0.11474106373626368,586.6404444444445,0.048859978232686334,913.2510834613562,0.9907218066451783,2.002143098448373,869.2331570444597,973.4894914756024,0.9917695473251028,68,68.0,68,68
49,reliability,250,10.0,0.1588013538461538,868.992,0.008111778167802144,162.76325537904282,0.9940673359562249,2.7779100049176617,133.9295324017546,241.9099118165783,0.9917695473251028,10,10.0,10,10
50,balanced,250,30.372,0.12409850535940038,646.3035555555556,0.027757832313346248,569.619665802248,0.9823676043113145,2.2361760410106255,366.66361416361417,707.2743995574455,0.8856563620071685,29,29.0,29,32
50,delay,250,10.0,0.15833107665043883,866.6848888888888,0.011281253099217988,203.91453929926368,0.9912991290843237,2.0741528060619427,133.2846628679962,222.82518201962645,0.9917695473251028,10,10.0,10,10
50,energy,250,68.0,0.11329616332374792,580.4426666666666,0.0474211501650818,885.791453367592,0.9801894803259746,2.002205653075718,874.5164609053497,1020.3400205761316,0.8888888888888888,68,68.0,68,68
50,reliability,250,10.0,0.1581357632459713,866.38,0.007860228080145743,157.83184072442097,0.9913521853660743,2.7753212454117455,138.8667299778411,200.42910279021376,0.9876543209876544,10,10.0,10,10
