cycle_idx,sf_len_mean,sf_len_sd,sf_len_ci95,sf_len_n,power_normalized_mean,power_normalized_sd,power_normalized_ci95,power_normalized_n,delay_normalized_mean,delay_normalized_sd,delay_normalized_ci95,delay_normalized_n,pdr_mean,pdr_sd,pdr_ci95,pdr_n
710,68.0,0.0,0.0,8,0.11528564887493455,0.0009585384630847021,0.0008013499905936155,8,0.046548835444740595,0.0025502971604298035,0.0021320799156504537,8,0.9940152164629978,0.006464756486956692,0.00540461624600971,8
711,68.0,0.0,0.0,8,0.11511246206174774,0.0013550221625412142,0.0011328152588808433,8,0.04662864944265667,0.0029227094128503285,0.002443421156995887,8,0.9920286399393843,0.010267841898877332,0.00858404260858022,8
712,68.0,0.0,0.0,8,0.11414021193092617,0.0028589860512498256,0.002390147639880232,8,0.04639230938737422,0.0032973417485740787,0.002756618415395066,8,0.9845857142094216,0.022047994758967657,0.01843239585383811,8
713,68.0,0.0,0.0,8,0.11386937205651487,0.002750048219616516,0.0022990742675361455,8,0.04632838041450142,0.003466900197293541,0.002898371372129993,8,0.9826995688047577,0.02127735032449457,0.01778812759116594,8
714,68.0,0.0,0.0,8,0.11375215855572993,0.002843568174971443,0.002377258104940867,8,0.046183961636762395,0.0035699097202042626,0.0029844886051828157,8,0.9818035114570874,0.02202022251502364,0.018409177914985992,8
715,68.0,0.0,0.0,8,0.11360759026687593,0.0031819141115130714,0.002660119485581221,8,0.04625562911934425,0.0039282517329399125,0.0032840669524208596,8,0.9807795194848196,0.023971680962528108,0.020040621272531624,8
716,68.0,0.0,0.0,8,0.1135994479330193,0.0031822096272330178,0.0026603665403719464,8,0.04634306643915956,0.00398122373121188,0.0033283521970425096,8,0.9807464507017508,0.02404654848374692,0.02010321144468955,8
717,68.0,0.0,0.0,8,0.11319075091575087,0.003696264705397212,0.003090122932959268,8,0.04629615088015316,0.004366147669032545,0.003650153361869205,8,0.977968672923973,0.02743858455360014,0.02293899548190234,8
718,68.0,0.0,0.0,8,0.11345506279434847,0.0037164672134733074,0.003107012479159268,8,0.045636221549257464,0.0027240209944711397,0.002277315185946133,8,0.9799858686911688,0.02743891266393804,0.02293926978619613,8
719,68.0,0.0,0.0,8,0.11339267922553632,0.0038214325711572877,0.0031947648142320035,8,0.04568819607892817,0.002626478277752453,0.0021957682703706775,8,0.9790942363180549,0.029039268979170595,0.02427718742596508,8
720,68.0,0.0,0.0,8,0.11339998168498164,0.003830187781767205,0.003202084278405954,8,0.04573109289348609,0.00227681063592583,0.0019034418043184793,8,0.9791260803313804,0.029114833939607128,0.024340360665920577,8
721,68.0,0.0,0.0,8,0.11267592621664045,0.0054409541426386635,0.004548704844865992,8,0.04536167442124946,0.002956784630689968,0.0024719084598500635,8,0.9735055275125518,0.04093537539245607,0.034222479273418656,8
722,68.0,0.0,0.0,8,0.11278950811093663,0.005176105612245502,0.004327288203267397,8,0.045445203725656594,0.002843645473108975,0.0023773227271382744,8,0.9743971598856657,0.03875732737573077,0.03240160423821307,8
723,68.0,0.0,0.0,8,0.11278538723181575,0.005158326670674442,0.004312424788590344,8,0.04542025757708673,0.002871059931349679,0.0024002415527246985,8,0.9743971598856657,0.03875732737573077,0.03240160423821307,8
724,68.0,0.0,0.0,8,0.1127885688121402,0.005149871292932135,0.004305355988395871,8,0.04554184766219124,0.0028178372917811337,0.002355746768884342,8,0.9743947948130579,0.038754590240167426,0.032399315959085614,8
725,68.0,0.0,0.0,8,0.11278563840920978,0.00514822370981784,0.004303978588568958,8,0.04565959893094132,0.0029966364376722864,0.0025052250625533577,8,0.9743983846554088,0.0387848542405283,0.03242461703706893,8
726,68.0,0.0,0.0,8,0.11311286499215066,0.004846152982057064,0.004051443730373795,8,0.045624811066920644,0.002757340807403128,0.0023051709609702284,8,0.9773108871049484,0.03619776482173551,0.030261778339138408,8
727,68.0,0.0,0.0,8,0.11388634222919933,0.0028089045368905282,0.0023482788754995267,8,0.04575912075044834,0.0019086579339180438,0.0015956615997124552,8,0.9837309611655078,0.02092240661136021,0.017491390264354728,8
728,68.0,0.0,0.0,8,0.11415757195185763,0.002919303390553278,0.002440573680300044,8,0.04600959578101843,0.0017599874155505635,0.0014713712106633507,8,0.9856171065701718,0.021709309560484932,0.018149250846025995,8
729,68.0,0.0,0.0,8,0.11427319989534271,0.0029512347686045607,0.002467268706620313,8,0.04725118140840242,0.0035221446052643417,0.0029445563793182115,8,0.986408307824336,0.021378395522359175,0.01787260262422591,8
730,68.0,0.0,0.0,8,0.11441752747252742,0.0025946372185747936,0.0021691487517439597,8,0.04723471640817542,0.0033168607424010994,0.002772936535243218,8,0.9873294191381676,0.01926197724010082,0.01610325080800148,8
731,68.0,0.0,0.0,8,0.11441949502878068,0.002596149905254572,0.0021704133764859977,8,0.047209085587868904,0.003250131058438729,0.0027171496955127866,8,0.9872939008156121,0.019135619423346694,0.015997614113004925,8
732,68.0,0.0,0.0,8,0.11442363683935108,0.0025276533139967487,0.002113149380439862,8,0.04693542372177874,0.0032297004393407073,0.002700069445681879,8,0.9872596072628002,0.01785140417661446,0.014923994310021477,8
733,68.0,0.0,0.0,8,0.11442927524856092,0.0025309152352734885,0.0021158763869034525,8,0.04685483637889244,0.003043064441041222,0.0025440394466347705,8,0.9871910201571761,0.0178162530606673,0.014894607543064873,8
734,68.0,0.0,0.0,8,0.11449334118262686,0.002558792488350602,0.0021391821146874265,8,0.04702156604106745,0.0028726834190317433,0.002401598808472751,8,0.9880165149641522,0.01823692382444408,0.015246293495771127,8
735,68.0,0.0,0.0,8,0.11448244897959178,0.002555595819274278,0.002136509659869078,8,0.04704360135904421,0.002769005161190743,0.0023149225047610802,8,0.9880508085169644,0.018260561549418172,0.015266054925713837,8
736,68.0,0.0,0.0,8,0.11520697335535818,0.0012828840819340242,0.0010725069327757227,8,0.04752782260182841,0.002474256335594665,0.0020685088471820365,8,0.9936075043753844,0.008569501064437447,0.007164208700900198,8
737,68.0,0.0,0.0,8,0.1152037577614283,0.0012751889616096762,0.0010660737171698635,8,0.04754137935166614,0.0025290156200737514,0.0021142882851411695,8,0.9935756603620589,0.00854854328682197,0.007146687740039661,8
738,68.0,0.0,0.0,8,0.11500189224599136,0.0015772282557031953,0.0013185822964310754,8,0.047295756172400116,0.0027181241509038278,0.002272385351913192,8,0.9916895149573949,0.010474793746767026,0.0087570569087326,8
739,68.0,0.0,0.0,8,0.11500364002202484,0.0015768013265353002,0.0013182253783752512,8,0.04716748106069629,0.0027754483895971517,0.0023203091232659357,8,0.9917238085102069,0.010501349524393489,0.008779257866723048,8
740,68.0,0.0,0.0,8,0.11469859292626346,0.0016639683093464884,0.001391098052290734,8,0.04688499370764523,0.0028647135038203358,0.0023949358609483083,8,0.9899369539216283,0.010951781601938845,0.009155824645214583,8
741,68.0,0.0,0.0,8,0.11468995870334353,0.001645849068244175,0.0013759501430037394,8,0.04688287818444903,0.002919336366306766,0.0024406012484371243,8,0.9899369539216283,0.010951781601938845,0.009155824645214583,8
742,68.0,0.0,0.0,8,0.11465661490428544,0.001447363811095656,0.0012100140172513377,8,0.04691668447997651,0.002749248380763879,0.002298405592379413,8,0.9899812145661443,0.00955462029969079,0.00798778054523014,8
743,68.0,0.0,0.0,8,0.114649380472051,0.0014409000387993207,0.0012046102238008395,8,0.04793767163524636,0.004220300289029894,0.0035282231513515078,8,0.9897803523282449,0.009497098271418732,0.007939691419347387,8
744,68.0,0.0,0.0,8,0.11478044274311328,0.0015001062704476109,0.0012541073645016487,8,0.046684085471734735,0.0037391041479170168,0.0031259372358614225,8,0.9908410029259327,0.010132578505867032,0.008470960741872816,8
745,68.0,0.0,0.0,8,0.11476852228262138,0.0014952555380760395,0.0012500520923450973,8,0.04765636802165216,0.006785970724677439,0.005673155314903923,8,0.9909108148013,0.010139395573854033,0.008476659894882992,8
746,68.0,0.0,0.0,8,0.11476608900161668,0.0014927045469777273,0.0012479194322888088,8,0.047498463956755936,0.006825138585878504,0.00570590013048914,8,0.9909794019069242,0.010168300591852688,0.008500824846831595,8
747,68.0,0.0,0.0,8,0.11518221145059628,0.0007895239434500401,0.0006600517652896897,8,0.04773891826870694,0.006644776009027221,0.005555114789233153,8,0.9937914732375142,0.0054555993104251676,0.004560948385965208,8
748,68.0,0.0,0.0,8,0.11491968659449998,0.0008556178336563416,0.0007153070735896499,8,0.04774614736651143,0.006719493105997673,0.005617579204862099,8,0.9919396213856623,0.005918307067623175,0.004947777784219048,8
749,68.0,0.0,0.0,8,0.11459768502464127,0.0012514168498660417,0.0010461999382284871,8,0.04754246532458121,0.0064129725533634665,0.005361324238128995,8,0.989262274726834,0.009813139866581595,0.00820390609519454,8
750,68.0,0.0,0.0,8,0.11433876561072186,0.001848123368191327,0.0015450539553206134,8,0.047465216536663454,0.00653865543004233,0.005466396674888881,8,0.9873784943947779,0.01431607547349851,0.011968415862110032,8
751,68.0,0.0,0.0,8,0.11433556776556773,0.0018419773738839395,0.0015399158281926067,8,0.047369985431567674,0.006657799013156316,0.005566002181485277,8,0.9874423513551867,0.0141514394280045,0.01183077809525045,8
752,68.0,0.0,0.0,8,0.1143337205651491,0.0018257578426292404,0.001526356099794689,8,0.04723168146118578,0.006650161630638809,0.005559617235398848,8,0.9874754201382554,0.014256955586085873,0.011918990906256356,8
753,68.0,0.0,0.0,8,0.1145368027210884,0.0015403386406212844,0.0012877421227318806,8,0.04745102712101047,0.006833188396896465,0.005712629871894367,8,0.9893615655429193,0.012477767061957388,0.010431567331738155,8
754,68.0,0.0,0.0,8,0.11454368393511247,0.0015384957028049813,0.0012862014039619666,8,0.04983198075572406,0.008867017664578659,0.007412936252173784,8,0.9893284967598506,0.01244585492187433,0.01040488838859686,8
755,68.0,0.0,0.0,8,0.11484717425431708,0.0016861552484113854,0.0014096466072999294,8,0.05002552807758592,0.008787185034562129,0.007346195187754799,8,0.9911803486117023,0.013390747169781584,0.011194829974806895,8
756,68.0,0.0,0.0,8,0.1144100104657247,0.0019725855041046888,0.0016491058377275695,8,0.04986455102462723,0.00877019318403859,0.0073319897909120005,8,0.9884025708339246,0.0148674771336156,0.012429394458343042,8
757,68.0,0.0,0.0,8,0.11455493982208265,0.0019430289347631415,0.0016243961808113446,8,0.050030633887057516,0.008781063560110918,0.007341077559529313,8,0.9893184452012677,0.014711498924769275,0.01229899474982267,8
758,68.0,0.0,0.0,8,0.11455977237048662,0.0019436429178909503,0.0016249094782872862,8,0.048906487684181196,0.006899817692878671,0.005768332786033851,8,0.9895193074391669,0.014686880261307964,0.012278413243192607,8
759,68.0,0.0,0.0,8,0.11456715593929875,0.0019467378294918058,0.0016274968625997028,8,0.05123857038310009,0.007984794803258921,0.006675387046954699,8,0.989421241392825,0.014613872855413648,0.012217378150413544,8
760,68.0,0.0,0.0,8,0.11444728762943551,0.0021598945876876562,0.0018056985443825199,8,0.050471520691036734,0.00893891023553565,0.007473039329179932,8,0.9884622466838304,0.016119693791468256,0.013476263045923887,8
761,68.0,0.0,0.0,8,0.11445244984816914,0.0021598320635669416,0.0018056462734455923,8,0.05059269223553957,0.008898882638004446,0.007439575763407215,8,0.9884622466838304,0.016119693791468256,0.013476263045923887,8
762,68.0,0.0,0.0,8,0.11419122274194204,0.002080902302371142,0.0017396600185088187,8,0.05061703995248801,0.008833585225131054,0.007384986319991989,8,0.9865761012791665,0.015499109338916808,0.012957446780988358,8
763,68.0,0.0,0.0,8,0.11444912698056056,0.0016487297358099224,0.00137835841665745,8,0.05067807192279325,0.008839360972828133,0.007389814916382196,8,0.9884965402366425,0.012973509451698638,0.010846014090689863,8
764,68.0,0.0,0.0,8,0.11461779783351712,0.0014894623240694906,0.00124520889390451,8,0.0507348352937856,0.008910543848103476,0.007449324679035592,8,0.9903483920884943,0.010082932325223112,0.008429455921853403,8
765,68.0,0.0,0.0,8,0.11487953252739466,0.0015677787060697935,0.0013106823562602122,8,0.05080994395808676,0.009041231339012521,0.007558581035085869,8,0.9921991036374816,0.01030362506581239,0.00861395777796689,8
766,68.0,0.0,0.0,8,0.11489001656716444,0.0015679803665717255,0.0013108509469298094,8,0.05069287038899069,0.009085334871737334,0.0075954521330076335,8,0.9921991036374816,0.01030362506581239,0.00861395777796689,8
767,68.0,0.0,0.0,8,0.1148940092411571,0.001567394632413446,0.0013103612659411956,8,0.05068256511985279,0.009246359754820107,0.007730070923502966,8,0.9922321724205505,0.01033165420079024,0.008637390480895226,8
768,68.0,0.0,0.0,8,0.11417416622702836,0.0014341455528228718,0.0011989633901242094,8,0.05110069226246593,0.00917826152188575,0.007673139959933937,8,0.986676616864995,0.010424687408885821,0.008715167391581074,8
